_Y5_1,_Y5_2,_Y5_3,_Y5_4,_Y5_5,_age5grp,_male,_U5UK,_EUUKcopula
1,2,2,3,1,18-34,1,.816,.6674556792182297
1,2,2,3,2,18-34,1,.738,.6288973237181825
1,2,2,3,3,18-34,1,.712,.5834792020558554
1,2,2,3,4,18-34,1,.5309999999999999,.3776624231791372
1,2,2,3,5,18-34,1,.5269999999999999,.1980503621851473
1,2,2,4,1,18-34,1,.6239999999999999,.6149183370988722
1,2,2,4,2,18-34,1,.5459999999999999,.575124281792979
1,2,2,4,3,18-34,1,.5199999999999999,.5124609174867906
1,2,2,4,4,18-34,1,.3389999999999999,.3125437923227483
1,2,2,4,5,18-34,1,.3349999999999999,.1406550733546115
1,2,2,5,1,18-34,1,.565,.6395838585168596
1,2,2,5,2,18-34,1,.4869999999999999,.5991790468879579
1,2,2,5,3,18-34,1,.461,.5444990908035507
1,2,2,5,4,18-34,1,.28,.3389767361385376
1,2,2,5,5,18-34,1,.276,.1606800663230643
1,2,3,1,1,18-34,1,.887,.7614776047936079
1,2,3,1,2,18-34,1,.8090000000000001,.7194483057656337
1,2,3,1,3,18-34,1,.783,.6617516245667988
1,2,3,1,4,18-34,1,.6020000000000001,.453500591562285
1,2,3,1,5,18-34,1,.5980000000000001,.2672097267962869
1,2,3,2,1,18-34,1,.8240000000000001,.6977424690291753
1,2,3,2,2,18-34,1,.7460000000000001,.6588142076682955
1,2,3,2,3,18-34,1,.7200000000000001,.6087077014910857
1,2,3,2,4,18-34,1,.5390000000000002,.4027001391667284
1,2,3,2,5,18-34,1,.5350000000000001,.2195991752254501
1,2,3,3,1,18-34,1,.8030000000000001,.6248811467796824
1,2,3,3,2,18-34,1,.7250000000000001,.5876436332757911
1,2,3,3,3,18-34,1,.6990000000000001,.5335731276431578
1,2,3,3,4,18-34,1,.518,.343200132508214
1,2,3,3,5,18-34,1,.514,.1681473642059677
1,2,3,4,1,18-34,1,.611,.4692733241872897
1,2,3,4,2,18-34,1,.533,.4334138863940801
1,2,3,4,3,18-34,1,.507,.3823504099708953
1,2,3,4,4,18-34,1,.326,.2272466592063798
1,2,3,4,5,18-34,1,.322,.0834775374776146
1,2,3,5,1,18-34,1,.5520000000000001,.4576389447855052
1,2,3,5,2,18-34,1,.474,.4208014446383144
1,2,3,5,3,18-34,1,.4480000000000001,.3515989545686295
1,2,3,5,4,18-34,1,.2670000000000001,.1915665115518125
1,2,3,5,5,18-34,1,.2630000000000001,.0505790419464355
1,2,4,1,1,18-34,1,.7879999999999999,.7486174666878438
1,2,4,1,2,18-34,1,.71,.6983947834773737
1,2,4,1,3,18-34,1,.6839999999999999,.6251010803441043
1,2,4,1,4,18-34,1,.5029999999999999,.4245526604211984
1,2,4,1,5,18-34,1,.4989999999999999,.2453724575645414
1,2,4,2,1,18-34,1,.7249999999999999,.6870182524837204
1,2,4,2,2,18-34,1,.6469999999999999,.6456741081054876
1,2,4,2,3,18-34,1,.6209999999999999,.5877949315532455
1,2,4,2,4,18-34,1,.4399999999999999,.3895118917525564
1,2,4,2,5,18-34,1,.4359999999999999,.2099215162108868
1,2,4,3,1,18-34,1,.704,.5972278181551947
